序号,评论ID,评论内容,评论时间,层级,根评论ID,父评论ID,视频ID,视频链接,视频标题,评论跳转链接
1,272641822465,🤣🤣🤣,2025-08-25 15:26:04,回复,270086586961,270086586961,361002879,https://www.bilibili.com/video/av361002879,(获取失败),https://www.bilibili.com/video/av361002879#reply272641822465
2,266540557441,回复 @深邃的蓝眼眸 :阅读理解能力不行,2025-07-05 01:24:25,回复,265680049905,267632188800,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply266540557441
3,266483464961,回复 @无声铃鹿p :你这表达能力考公务员能过吗,2025-07-04 15:06:59,回复,266436225857,266479241249,114783940512772,https://www.bilibili.com/video/av114783940512772,7月2日发布，荣耀发布#全球最轻薄折叠屏手机重217克，现场被四个小风扇轻松吹起#全球最轻薄折叠屏手机发布#4个风扇吹起全球最轻薄折叠屏手机,https://www.bilibili.com/video/av114783940512772#reply266483464961
4,266478982753,回复 @无声铃鹿p :自己说不清楚还怪人家听不懂是这样的,2025-07-04 14:10:03,回复,266436225857,266478784945,114783940512772,https://www.bilibili.com/video/av114783940512772,7月2日发布，荣耀发布#全球最轻薄折叠屏手机重217克，现场被四个小风扇轻松吹起#全球最轻薄折叠屏手机发布#4个风扇吹起全球最轻薄折叠屏手机,https://www.bilibili.com/video/av114783940512772#reply266478982753
5,266478318897,回复 @无声铃鹿p :那确实是脑子得治治了,2025-07-04 14:02:22,回复,266436225857,266476125777,114783940512772,https://www.bilibili.com/video/av114783940512772,7月2日发布，荣耀发布#全球最轻薄折叠屏手机重217克，现场被四个小风扇轻松吹起#全球最轻薄折叠屏手机发布#4个风扇吹起全球最轻薄折叠屏手机,https://www.bilibili.com/video/av114783940512772#reply266478318897
6,266220037969,你也活不到那时候了,2025-07-01 22:34:43,回复,266179243649,266179243649,114775551904946,https://www.bilibili.com/video/av114775551904946,"【100年后GDP预测】上海遗憾丢失榜一,苏州冲上前三",https://www.bilibili.com/video/av114775551904946#reply266220037969
7,265684358801,回复 @a西瓜君666 :都是模考难 但是高考还可以不算难,2025-06-26 18:04:53,回复,265657311313,265683342625,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265684358801
8,265684286177,想啥呢 600排11000才能上211,2025-06-26 18:03:11,回复,265680049905,265680049905,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265684286177
9,265683296241,回复 @乐巡lossen :数学选择我信1333配平结果错了仨[笑哭],2025-06-26 17:51:05,回复,265616535521,265682165249,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265683296241
10,265681607713,回复 @乐巡lossen :还是后悔开始学的晚了 当时一摸我英语考了一个69分 自此之后开始努力学英语俩月 这之前我都没碰过英语作业 最后高考103 没想到数学又掉下来了[笑哭],2025-06-26 17:31:00,回复,265616535521,265680800417,114742165241869,https://www.bilibili.com/video/av114742165241869,这就是，北京吗,https://www.bilibili.com/video/av114742165241869#reply265681607713
