序号,评论ID (rpid),评论内容,评论时间,Unix时间戳,层级,根评论ID,父评论ID,视频ID (oid),视频链接,视频标题,评论跳转链接
1,275357829504,回复 @I过秋天I :电脑配置不行呗,2025-09-07 15:56:26,1757231786,回复,263910926880,275166369184,114517669383730,https://www.bilibili.com/video/av114517669383730,超级低配光影，核显能玩！,https://www.bilibili.com/video/av114517669383730#reply275357829504
2,275191852160,回复 @米票卡 :是高考吗,2025-09-06 00:15:24,1757088924,回复,273414633361,273529499905,115123242926591,https://www.bilibili.com/video/av115123242926591,黎曼猜想: 跨越三个世纪的智力审判【数学大问题05: 黎曼猜想】,https://www.bilibili.com/video/av115123242926591#reply275191852160
3,274705046944,回复 @切塞德加德 :我答啥啊，你都没问，我上面说的自己去查查是不是真的，跑了十几年的史山代码你指望他好到哪里去,2025-08-31 18:13:59,1756635239,回复,273141442737,273363614433,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274705046944
4,274704262096,回复 @切塞德加德 :去查查，非要嘴硬的话，我也没办法,2025-08-31 18:06:40,1756634800,回复,273141442737,273363189345,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274704262096
5,274703884448,回复 @切塞德加德 :纯纯没玩过大型整合包，原版mc由于不需要太多性能（生电、红石这些除外），跑起来肯定没一点问题，但凡加的东西再多一点，就直接原形毕露了，,2025-08-31 18:03:34,1756634614,回复,273141442737,273360640065,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274703884448
6,274703570256,回复 @切塞德加德 :一堆核心看着一个核心跑你和我说叫优化好,2025-08-31 18:00:23,1756634423,回复,273141442737,273360640065,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274703570256
7,274703547520,回复 @切塞德加德 :你猜为什么开生电服追求单核性能，好好查查去,2025-08-31 17:59:42,1756634382,回复,273141442737,273360640065,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274703547520
8,274699896096,回复 @切塞德加德 :骗你的，加了也差,2025-08-31 17:23:10,1756632190,回复,273141442737,273222242465,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274699896096
9,274699525552,国际Java的模组生态确实好，这没得喷啊,2025-08-31 17:18:32,1756631912,回复,274426376192,274426376192,115109636677227,https://www.bilibili.com/video/av115109636677227,[二补]国际版天龙人，刚毅就是石不服憋着。,https://www.bilibili.com/video/av115109636677227#reply274699525552
10,273580650992,回复 @happydefTCL :估计好几个只是懒得推了,2025-08-22 13:52:44,1755841964,回复,270780798225,270792854673,114998521175023,https://www.bilibili.com/video/av114998521175023,Distorted Fate 12人联合,https://www.bilibili.com/video/av114998521175023#reply273580650992
11,273486470112,国家的科技进步是看不见的，觉得不行你去国外呗,2025-08-21 18:45:52,1755773152,回复,272742078000,272742078000,115031840656168,https://www.bilibili.com/video/av115031840656168,武汉大学彻底赢了：杨姐混过去了！世界排名上升至81名！,https://www.bilibili.com/video/av115031840656168#reply273486470112
12,273483878048,回复 @卡西尔娜 :现在也是名校，只是换了一个方式而已,2025-08-21 18:24:22,1755771862,回复,271992319297,273286597328,115054188109483,https://www.bilibili.com/video/av115054188109483,8月20日再探武大！这根本就不是简单的学术讨论！《提前补档》,https://www.bilibili.com/video/av115054188109483#reply273483878048
13,273278241216,有点多，但是大多是想维持现状的,2025-08-20 01:29:23,1755624563,回复,271767326897,271767326897,115042376746529,https://www.bilibili.com/video/av115042376746529,【台灣課間能不能玩棋牌?】台灣UP主回答上期問題 第15期,https://www.bilibili.com/video/av115042376746529#reply273278241216
14,273277770560,回复 @黑傑克888 :新声代好很多，只是现在脾气都不太好，毕竟这几年经济不是很好,2025-08-20 01:24:01,1755624241,回复,272944593728,272973552752,115042376746529,https://www.bilibili.com/video/av115042376746529,【台灣課間能不能玩棋牌?】台灣UP主回答上期問題 第15期,https://www.bilibili.com/video/av115042376746529#reply273277770560
15,273231303648,可以偷偷生电吗[doge],2025-08-19 18:44:36,1755600276,一级评论,,,115031119238061,https://www.bilibili.com/video/av115031119238061,(API错误: code=62012),https://www.bilibili.com/video/av115031119238061#reply273231303648
16,273014618000,可以来我们服务器当黑奴吗[阴险],2025-08-17 23:56:45,1755446205,回复,271260060417,271260060417,115013821923332,https://www.bilibili.com/video/av115013821923332,“望这盛世皆如所愿”,https://www.bilibili.com/video/av115013821923332#reply273014618000
17,272779625760,回复 @FutureAwait :而且这俩速度可差多了,2025-08-16 06:13:51,1755296031,回复,253166228737,254799017473,113904713732026,https://www.bilibili.com/video/av113904713732026,耗时？？？，我们完成了一个满置域,https://www.bilibili.com/video/av113904713732026#reply272779625760
18,272779485456,回复 @FutureAwait :有区别，腐竹不方便光明正大的开所以写了客户端mod偷偷的开[捂眼],2025-08-16 06:13:29,1755296009,回复,253166228737,254799017473,113904713732026,https://www.bilibili.com/video/av113904713732026,耗时？？？，我们完成了一个满置域,https://www.bilibili.com/video/av113904713732026#reply272779485456
19,272779347824,生存档你用这种指令还有啥意思,2025-08-16 06:05:50,1755295550,回复,266646206560,266646206560,113904713732026,https://www.bilibili.com/video/av113904713732026,耗时？？？，我们完成了一个满置域,https://www.bilibili.com/video/av113904713732026#reply272779347824
20,272779175120,这咋会是创造档啊,2025-08-16 06:01:14,1755295274,回复,253994140336,253994140336,113904713732026,https://www.bilibili.com/video/av113904713732026,耗时？？？，我们完成了一个满置域,https://www.bilibili.com/video/av113904713732026#reply272779175120
21,272128312176,回复 @瓶装的幸福 :要方便跨存档的,2025-08-11 05:04:11,1754859851,回复,270411113280,270523166161,114927318598757,https://www.bilibili.com/video/av114927318598757,🏠我们在原版MC肝出了可移动城市🏠,https://www.bilibili.com/video/av114927318598757#reply272128312176
22,271720210160,回复 @MC-帅基解说 :是因为你太小了，庄主他们算是第二代,2025-08-07 23:36:46,1754581006,回复,261215966384,264101263633,114333791033641,https://www.bilibili.com/video/av114333791033641,我的世界：谁是中国的生电启蒙人,https://www.bilibili.com/video/av114333791033641#reply271720210160
23,271612772816,回复 @雪雪孤孤 :当然也不是说看不起这玩意儿，只是说你的论证不合理,2025-08-07 07:42:16,1754523736,回复,265654000224,264610744945,114682438360759,https://www.bilibili.com/video/av114682438360759,(API错误: code=62012),https://www.bilibili.com/video/av114682438360759#reply271612772816
24,271612809040,回复 @Roy-Sues :双标在哪儿？TNT复制有替代？,2025-08-07 07:40:21,1754523621,回复,267496721808,269564655185,114682438360759,https://www.bilibili.com/video/av114682438360759,(API错误: code=62012),https://www.bilibili.com/video/av114682438360759#reply271612809040
25,271612659760,回复 @雪雪孤孤 :无限水和刷石本来就是游戏诞生以来伴生的机制，TNT复制和刷沙不修是因为在没有替代方法之前，官方是不会修的，像刷线机这种，相比于TNT复制和刷沙就是不配上桌的，修了也就修了，本来就是bug,2025-08-07 07:39:34,1754523574,回复,265654000224,264610744945,114682438360759,https://www.bilibili.com/video/av114682438360759,(API错误: code=62012),https://www.bilibili.com/video/av114682438360759#reply271612659760
26,271609421008,回复 @゙漆黑噤默 :火弦月也是Java啊,2025-08-07 06:07:09,1754518029,回复,259484167105,260367248832,114333791033641,https://www.bilibili.com/video/av114333791033641,我的世界：谁是中国的生电启蒙人,https://www.bilibili.com/video/av114333791033641#reply271609421008
27,271223145088,回复 @棱辉零灰 :又不是真要做，没坏就不错了[吃瓜],2025-08-04 04:22:21,1754252541,回复,270815168224,271216741872,114947468105003,https://www.bilibili.com/video/av114947468105003,【赤石科技】铁傀儡处死沼泽刷怪塔,https://www.bilibili.com/video/av114947468105003#reply271223145088
28,271209070352,我感觉应该没事儿，在水里面,2025-08-04 00:06:00,1754237160,回复,270815168224,270815168224,114947468105003,https://www.bilibili.com/video/av114947468105003,【赤石科技】铁傀儡处死沼泽刷怪塔,https://www.bilibili.com/video/av114947468105003#reply271209070352
29,271205874752,回复 @八猫免费小说 :噢噢,2025-08-03 23:36:29,1754235389,回复,258518172801,269974513713,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271205874752
30,271204936976,回复 @mc的热爱者 :[微笑][微笑][微笑],2025-08-03 23:27:56,1754234876,回复,258580246545,269972320097,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271204936976
31,271201851120,回复 @八猫免费小说 :凋灵骷髅是亡灵啊,2025-08-03 23:01:14,1754233274,回复,258518172801,260183455681,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271201851120
32,271201090400,冰霜偶尔下界挖挖东西还是有用的[笑哭],2025-08-03 22:56:05,1754232965,回复,259442883168,259442883168,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271201090400
33,271200688080,回复 @zombyfo :平常也就能杀个蜘蛛，还要占个格子,2025-08-03 22:52:08,1754232728,回复,258515485777,258515840593,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271200688080
34,271200539216,回复 @zombyfo :那请问截肢杀手有啥用？,2025-08-03 22:51:40,1754232700,回复,258515485777,258515840593,114239284974375,https://www.bilibili.com/video/av114239284974375,【我的世界】为什么亡灵杀手>锋利>截肢杀手（已改标题）,https://www.bilibili.com/video/av114239284974375#reply271200539216
